observ,cycle,test_point,direction,input_lb,output_mV
1,1,3,up,2.5,51.1
2,1,4,up,3.5,70.4
3,1,5,up,4.5,88.8
4,1,4,dn,3.5,69.4
5,1,3,dn,2.5,49.5
6,1,2,dn,1.5,30.7
7,1,1,dn,0.5,8.7
8,2,2,up,1.5,29.9
9,2,3,up,2.5,49.4
10,2,4,up,3.5,70
11,2,5,up,4.5,91.6
12,2,4,dn,3.5,69
13,2,3,dn,2.5,50.1
14,2,2,dn,1.5,30.8
15,2,1,dn,0.5,10.9
16,3,2,up,1.5,30.2
17,3,3,up,2.5,49.7
18,3,4,up,3.5,70.1
19,3,5,up,4.5,89.5
20,3,4,dn,3.5,68.5
21,3,3,dn,2.5,49.8
22,3,2,dn,1.5,29.2
23,3,1,dn,0.5,10.6
24,4,2,up,1.5,29.5
25,4,3,up,2.5,49.6
26,4,4,up,3.5,70.7
27,4,5,up,4.5,91.4
28,4,4,dn,3.5,68.6
29,4,3,dn,2.5,49.2
30,4,2,dn,1.5,28.5
31,4,1,dn,0.5,10.7
32,5,2,up,1.5,30.7
33,5,3,up,2.5,48.5
34,5,4,up,3.5,71
35,5,5,up,4.5,91.2
36,5,4,dn,3.5,70.8
37,5,3,dn,2.5,50.6
38,5,2,dn,1.5,30
39,5,1,dn,0.5,9.5
40,6,2,up,1.5,30.7
41,6,3,up,2.5,51.6
